,Account Statements,Mobile Banking App,Rewards Programme,Balance Transfer,Current Accounts,Debit Cards,Daily Savings,Fixed Term Savings,Savings Options,ISA Accounts,Student account,Fixed-rate Credit Card,Bonds,Stock Trading and Shares,Investment Accounts,International Trading,Overdraft Protection,Trustee Banking,Personal Pension,Self-Invested Personal Pension (SIPP),Cardless Cash Withdrawal,Google/Apple Pay,Online Purchases,Cheque Payments,International Payments,Fixed Deposit,Retirement Planning Calculator,Bereavement Support,Budgeting Tools and Resources,Debt Management Services,Financial Assistance,Personalised Financial Advice,Financial Education Webinars,Mortgage Calculator,Mortgage Rates,Remortgage Options,Other Borrowing Options,Personal Loan Calculator,Digital Confidence,Student Loan Repayment,Data and Privacy Control,Fraud Alerts and Monitoring,Fund Performance,Interest Rates,Car Insurance Renewal,Life Insurance Coverage,Travel Insurance,Insurance Coverage Calculator,Claims,Credit Score
Data and Privacy Control,41.66666666666667,26.666666666666668,33.33333333333333,18.181818181818183,14.285714285714285,10.0,7.6923076923076925,28.57142857142857,13.333333333333334,0.0,15.384615384615385,14.285714285714285,7.142857142857142,7.142857142857142,0.0,23.52941176470588,23.076923076923077,16.666666666666664,18.181818181818183,6.25,33.33333333333333,26.666666666666668,29.411764705882355,12.5,25.0,17.647058823529413,14.285714285714285,35.0,18.75,15.384615384615385,21.428571428571427,8.333333333333332,23.076923076923077,25.0,30.76923076923077,16.666666666666664,23.52941176470588,8.333333333333332,60.0,0.0,0.0,76.92307692307693,12.5,30.76923076923077,11.76470588235294,18.75,11.11111111111111,18.181818181818183,25.0,30.76923076923077
Fraud Alerts and Monitoring,30.76923076923077,30.0,47.368421052631575,33.33333333333333,13.333333333333334,28.57142857142857,22.22222222222222,14.285714285714285,7.142857142857142,8.333333333333332,7.6923076923076925,11.11111111111111,6.666666666666667,6.666666666666667,0.0,18.75,23.076923076923077,33.33333333333333,12.5,6.25,45.45454545454545,35.714285714285715,41.17647058823529,16.666666666666664,28.57142857142857,11.76470588235294,6.25,33.33333333333333,25.0,46.15384615384615,42.857142857142854,30.76923076923077,30.76923076923077,11.76470588235294,0.0,12.5,7.6923076923076925,14.285714285714285,46.15384615384615,10.0,76.92307692307693,0.0,26.666666666666668,6.666666666666667,7.142857142857142,13.333333333333334,6.666666666666667,30.0,41.17647058823529,23.076923076923077
Fund Performance,23.076923076923077,29.411764705882355,27.77777777777778,9.090909090909092,40.0,25.0,21.428571428571427,37.5,20.0,38.88888888888889,0.0,31.57894736842105,47.05882352941176,47.05882352941176,38.88888888888889,43.47826086956522,35.294117647058826,40.0,30.76923076923077,29.411764705882355,29.411764705882355,5.555555555555555,10.0,12.5,17.647058823529413,26.31578947368421,29.411764705882355,21.052631578947366,29.411764705882355,31.25,30.0,31.25,31.57894736842105,25.0,14.285714285714285,0.0,20.0,35.0,23.52941176470588,7.6923076923076925,12.5,26.666666666666668,0.0,28.57142857142857,11.76470588235294,5.88235294117647,0.0,21.428571428571427,20.833333333333336,21.428571428571427
Interest Rates,9.090909090909092,26.666666666666668,27.77777777777778,27.27272727272727,46.15384615384615,28.57142857142857,36.36363636363637,47.05882352941176,15.384615384615385,33.33333333333333,21.428571428571427,33.33333333333333,30.76923076923077,21.428571428571427,26.666666666666668,29.411764705882355,33.33333333333333,25.0,0.0,7.6923076923076925,10.0,0.0,21.052631578947366,18.75,6.666666666666667,46.666666666666664,6.25,27.77777777777778,15.384615384615385,30.76923076923077,18.75,27.27272727272727,25.0,41.17647058823529,46.15384615384615,45.45454545454545,26.666666666666668,23.52941176470588,31.25,7.6923076923076925,30.76923076923077,6.666666666666667,28.57142857142857,0.0,6.25,17.647058823529413,0.0,27.27272727272727,18.75,15.384615384615385
Car Insurance Renewal,6.666666666666667,5.88235294117647,11.76470588235294,7.6923076923076925,13.333333333333334,7.6923076923076925,8.333333333333332,0.0,7.142857142857142,8.333333333333332,6.666666666666667,11.76470588235294,0.0,0.0,0.0,4.761904761904762,21.428571428571427,0.0,16.666666666666664,12.5,18.181818181818183,25.0,21.052631578947366,6.666666666666667,7.142857142857142,6.25,5.555555555555555,5.88235294117647,6.25,20.0,5.555555555555555,15.384615384615385,6.666666666666667,18.75,26.666666666666668,15.384615384615385,15.789473684210526,25.0,5.88235294117647,28.57142857142857,11.76470588235294,7.142857142857142,11.76470588235294,6.25,0.0,75.0,73.68421052631578,68.75,23.52941176470588,14.285714285714285
Life Insurance Coverage,14.285714285714285,20.0,11.76470588235294,11.11111111111111,7.6923076923076925,14.285714285714285,0.0,6.25,7.142857142857142,6.666666666666667,6.666666666666667,11.11111111111111,6.25,0.0,5.555555555555555,10.526315789473683,27.77777777777778,12.5,0.0,26.666666666666668,15.384615384615385,21.428571428571427,29.411764705882355,7.6923076923076925,0.0,0.0,31.25,25.0,0.0,6.25,11.11111111111111,7.6923076923076925,7.142857142857142,17.647058823529413,18.75,26.666666666666668,18.75,15.384615384615385,16.666666666666664,21.428571428571427,18.75,13.333333333333334,5.88235294117647,17.647058823529413,75.0,0.0,100.0,75.0,30.0,7.142857142857142
Travel Insurance,16.666666666666664,20.0,5.263157894736842,21.428571428571427,7.142857142857142,15.384615384615385,0.0,11.76470588235294,18.75,0.0,11.76470588235294,13.333333333333334,11.11111111111111,5.555555555555555,5.0,13.043478260869565,21.052631578947366,18.181818181818183,7.6923076923076925,17.647058823529413,7.142857142857142,20.0,25.0,5.555555555555555,5.263157894736842,0.0,12.5,0.0,0.0,0.0,4.761904761904762,7.142857142857142,0.0,5.263157894736842,14.285714285714285,26.666666666666668,17.647058823529413,7.142857142857142,0.0,31.25,11.11111111111111,6.666666666666667,0.0,0.0,73.68421052631578,100.0,0.0,42.857142857142854,21.052631578947366,6.25
Insurance Coverage Calculator,0.0,7.6923076923076925,7.6923076923076925,0.0,0.0,7.6923076923076925,0.0,10.0,0.0,12.5,0.0,6.25,9.090909090909092,0.0,0.0,6.25,30.76923076923077,11.11111111111111,0.0,9.090909090909092,18.181818181818183,0.0,12.5,0.0,0.0,0.0,33.33333333333333,33.33333333333333,30.0,41.66666666666667,28.57142857142857,20.0,28.57142857142857,38.46153846153847,8.333333333333332,27.27272727272727,15.384615384615385,33.33333333333333,27.27272727272727,22.22222222222222,18.181818181818183,30.0,21.428571428571427,27.27272727272727,68.75,75.0,42.857142857142854,0.0,40.0,10.0
Claims,28.57142857142857,7.142857142857142,30.0,0.0,7.142857142857142,13.333333333333334,6.666666666666667,6.25,12.5,5.88235294117647,13.333333333333334,9.523809523809524,11.11111111111111,10.0,10.526315789473683,22.727272727272727,22.22222222222222,23.52941176470588,7.6923076923076925,5.263157894736842,31.25,12.5,35.0,20.0,23.52941176470588,13.636363636363635,0.0,28.57142857142857,0.0,29.411764705882355,10.0,20.0,25.0,5.555555555555555,5.88235294117647,6.666666666666667,7.142857142857142,0.0,11.11111111111111,6.666666666666667,25.0,41.17647058823529,20.833333333333336,18.75,23.52941176470588,30.0,21.052631578947366,40.0,0.0,7.6923076923076925
Credit Score,15.384615384615385,15.384615384615385,25.0,15.384615384615385,9.090909090909092,9.090909090909092,20.0,7.142857142857142,33.33333333333333,10.0,7.142857142857142,0.0,0.0,0.0,0.0,6.666666666666667,30.76923076923077,23.076923076923077,12.5,7.6923076923076925,12.5,8.333333333333332,25.0,0.0,6.666666666666667,35.714285714285715,29.411764705882355,6.666666666666667,13.333333333333334,30.0,31.25,14.285714285714285,30.0,29.411764705882355,23.076923076923077,25.0,23.076923076923077,15.384615384615385,28.57142857142857,0.0,30.76923076923077,23.076923076923077,21.428571428571427,15.384615384615385,14.285714285714285,7.142857142857142,6.25,10.0,7.6923076923076925,0.0
