,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Drones,0.0,0.0,62.5,35.294117647058826,0.0,23.52941176470588,0.0,0.0,18.75,0.0,0.0,46.666666666666664,0.0,19.047619047619047,0.0,0.0,0.0,45.0,35.714285714285715,0.0,46.15384615384615,6.25,0.0,0.0,37.5,0.0,25.0,31.25,0.0,20.0,53.84615384615385,6.25,52.94117647058824,31.25,12.5,50.0,0.0,57.89473684210527,30.0,0.0,57.89473684210527,50.0,16.666666666666664,7.142857142857142,55.55555555555556,36.36363636363637,0.0,0.0,56.25,0.0
E-Readers,7.142857142857142,12.5,50.0,50.0,0.0,46.666666666666664,0.0,0.0,28.57142857142857,0.0,46.666666666666664,0.0,0.0,17.647058823529413,7.6923076923076925,0.0,0.0,46.666666666666664,46.666666666666664,0.0,58.333333333333336,0.0,0.0,0.0,43.75,0.0,20.0,50.0,0.0,33.33333333333333,40.0,7.142857142857142,53.333333333333336,45.45454545454545,40.0,25.0,0.0,31.25,41.17647058823529,0.0,71.42857142857143,58.333333333333336,42.857142857142854,0.0,72.72727272727273,33.33333333333333,0.0,0.0,50.0,0.0
Electric Kettles,7.142857142857142,14.285714285714285,0.0,0.0,100.0,0.0,80.0,90.9090909090909,0.0,64.28571428571429,0.0,0.0,0.0,7.6923076923076925,12.5,69.23076923076923,61.53846153846154,0.0,0.0,18.181818181818183,0.0,70.0,38.46153846153847,100.0,7.6923076923076925,93.33333333333333,0.0,0.0,83.33333333333334,7.6923076923076925,0.0,72.72727272727273,0.0,0.0,0.0,10.0,21.428571428571427,14.285714285714285,16.666666666666664,18.181818181818183,0.0,0.0,0.0,70.0,0.0,0.0,21.428571428571427,30.76923076923077,0.0,50.0
Electric Toothbrushes,23.52941176470588,15.0,33.33333333333333,22.727272727272727,5.263157894736842,15.789473684210526,14.285714285714285,10.526315789473683,9.523809523809524,10.0,19.047619047619047,17.647058823529413,7.6923076923076925,0.0,35.294117647058826,5.88235294117647,13.333333333333334,12.5,11.76470588235294,90.0,23.52941176470588,16.666666666666664,35.294117647058826,10.526315789473683,13.636363636363635,19.047619047619047,12.5,11.11111111111111,13.333333333333334,6.666666666666667,28.57142857142857,15.0,14.285714285714285,31.25,11.11111111111111,20.0,17.391304347826086,19.047619047619047,22.22222222222222,82.35294117647058,21.052631578947366,22.22222222222222,8.695652173913043,13.333333333333334,18.75,41.66666666666667,78.94736842105263,18.75,9.523809523809524,15.789473684210526
Fans,80.0,71.42857142857143,16.666666666666664,7.6923076923076925,15.384615384615385,8.333333333333332,16.666666666666664,15.384615384615385,15.384615384615385,6.25,0.0,7.6923076923076925,12.5,35.294117647058826,0.0,12.5,27.27272727272727,0.0,0.0,27.27272727272727,15.384615384615385,16.666666666666664,60.0,23.076923076923077,6.25,13.333333333333334,16.666666666666664,8.333333333333332,20.0,9.090909090909092,18.181818181818183,6.666666666666667,6.666666666666667,0.0,21.428571428571427,9.090909090909092,78.57142857142857,11.11111111111111,16.666666666666664,16.666666666666664,13.333333333333334,16.666666666666664,6.666666666666667,18.181818181818183,0.0,30.0,23.076923076923077,64.28571428571429,0.0,41.66666666666667
Freezers,17.647058823529413,0.0,0.0,0.0,73.33333333333333,0.0,86.66666666666667,69.23076923076923,0.0,94.44444444444444,0.0,0.0,69.23076923076923,5.88235294117647,12.5,0.0,100.0,0.0,7.6923076923076925,0.0,0.0,80.0,0.0,70.58823529411765,0.0,57.89473684210527,0.0,0.0,71.42857142857143,0.0,0.0,80.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,33.33333333333333,0.0,10.0,7.142857142857142,38.46153846153847,0.0,73.33333333333333
Fridges,23.076923076923077,15.384615384615385,0.0,0.0,73.33333333333333,0.0,92.85714285714286,82.35294117647058,0.0,92.85714285714286,0.0,0.0,61.53846153846154,13.333333333333334,27.27272727272727,100.0,0.0,0.0,0.0,20.0,0.0,76.92307692307693,14.285714285714285,75.0,0.0,66.66666666666666,0.0,0.0,64.28571428571429,0.0,0.0,84.61538461538461,0.0,0.0,0.0,11.11111111111111,40.0,6.666666666666667,0.0,7.6923076923076925,0.0,0.0,0.0,40.0,0.0,11.11111111111111,5.88235294117647,30.76923076923077,0.0,75.0
Gaming Consoles,0.0,0.0,52.94117647058824,43.75,0.0,55.55555555555556,0.0,0.0,58.82352941176471,0.0,45.0,46.666666666666664,0.0,12.5,0.0,0.0,0.0,0.0,41.17647058823529,0.0,46.666666666666664,6.666666666666667,0.0,0.0,50.0,0.0,60.0,60.0,0.0,50.0,38.46153846153847,5.0,100.0,15.384615384615385,50.0,66.66666666666666,0.0,45.0,44.44444444444444,0.0,35.294117647058826,43.75,52.94117647058824,6.666666666666667,70.58823529411765,50.0,0.0,0.0,94.73684210526315,0.0
Graphic Cards,6.666666666666667,5.555555555555555,35.714285714285715,33.33333333333333,0.0,64.28571428571429,0.0,6.25,69.23076923076923,5.555555555555555,35.714285714285715,46.666666666666664,0.0,11.76470588235294,0.0,7.6923076923076925,0.0,41.17647058823529,0.0,0.0,41.17647058823529,0.0,0.0,0.0,60.0,0.0,54.54545454545454,38.46153846153847,0.0,53.333333333333336,13.333333333333334,6.25,47.05882352941176,25.0,50.0,61.53846153846154,0.0,20.0,33.33333333333333,0.0,16.666666666666664,33.33333333333333,42.857142857142854,7.6923076923076925,40.0,23.076923076923077,0.0,6.25,46.666666666666664,7.142857142857142
Hair Dryers,7.6923076923076925,26.666666666666668,11.76470588235294,7.142857142857142,7.6923076923076925,6.666666666666667,20.0,15.384615384615385,13.333333333333334,7.142857142857142,0.0,0.0,18.181818181818183,90.0,27.27272727272727,0.0,20.0,0.0,0.0,0.0,8.333333333333332,9.090909090909092,50.0,0.0,12.5,6.25,9.090909090909092,0.0,22.22222222222222,13.333333333333334,12.5,8.333333333333332,0.0,11.11111111111111,7.6923076923076925,10.0,21.428571428571427,6.666666666666667,16.666666666666664,92.3076923076923,7.142857142857142,8.333333333333332,6.25,10.0,0.0,20.0,86.66666666666667,25.0,0.0,23.076923076923077
