,Air Conditioners,Air Purifiers,Fans,Radiators,Vacuum Cleaners,Irons,Coffee Makers,Deep Fryers,Electric Kettles,Kitchen Scales,Juicers,Microwave Ovens,Cookers,Ovens,Freezers,Hobs,Stand Mixers,Fridges,Dishwashers,Washing Machines,Electric Toothbrushes,Shavers,Trimmers,Hair Dryers,Cameras,Computer Mice,Keyboards,Monitors,Desktop Computers,Graphic Cards,Laptops,Printers,Scanners,Tablets,E-Readers,Gaming Consoles,PC Games,Microphones,VR Headsets,Speakers,Processors,Headphones,Smart Watches,Smartphones,Chargers,Phone Cases,Drones,Radios,Televisions,Musical Instruments
Juicers,25.0,25.0,17.5,17.5,35.0,40.0,92.5,95.0,95.0,92.5,0.0,90.0,85.0,85.0,80.0,82.5,92.5,80.0,75.0,67.5,12.5,10.0,10.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,20.0,0.0,5.0,2.5,0.0,0.0,2.5,2.5,5.0,0.0
Microwave Ovens,22.5,22.5,17.5,20.0,37.5,42.5,92.5,95.0,95.0,92.5,90.0,0.0,95.0,95.0,87.5,87.5,87.5,82.5,82.5,70.0,7.5,5.0,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,17.5,0.0,5.0,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Cookers,22.5,22.5,17.5,20.0,35.0,40.0,87.5,90.0,90.0,87.5,85.0,95.0,0.0,100.0,92.5,92.5,82.5,82.5,85.0,75.0,7.5,5.0,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,17.5,0.0,5.0,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Ovens,22.5,22.5,17.5,20.0,35.0,40.0,87.5,90.0,90.0,87.5,85.0,95.0,100.0,0.0,92.5,92.5,82.5,82.5,85.0,75.0,7.5,5.0,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,17.5,0.0,5.0,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Freezers,25.0,22.5,17.5,22.5,37.5,37.5,82.5,85.0,85.0,82.5,80.0,87.5,92.5,92.5,0.0,87.5,82.5,90.0,87.5,80.0,7.5,5.0,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,17.5,0.0,2.5,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Hobs,20.0,20.0,15.0,17.5,32.5,37.5,85.0,87.5,87.5,85.0,82.5,87.5,92.5,92.5,87.5,0.0,82.5,82.5,80.0,72.5,10.0,5.0,7.5,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,17.5,0.0,2.5,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Stand Mixers,22.5,25.0,17.5,15.0,32.5,35.0,90.0,92.5,92.5,90.0,92.5,87.5,82.5,82.5,82.5,82.5,0.0,82.5,75.0,65.0,10.0,7.5,10.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,5.0,20.0,0.0,2.5,2.5,0.0,0.0,2.5,5.0,5.0,0.0
Fridges,25.0,22.5,17.5,22.5,40.0,37.5,82.5,85.0,85.0,82.5,80.0,82.5,82.5,82.5,90.0,82.5,82.5,0.0,77.5,75.0,7.5,5.0,5.0,10.0,2.5,5.0,2.5,2.5,2.5,2.5,2.5,12.5,5.0,2.5,5.0,2.5,2.5,2.5,2.5,5.0,15.0,2.5,0.0,5.0,2.5,0.0,2.5,2.5,7.5,0.0
Dishwashers,27.500000000000004,30.0,20.0,25.0,45.0,37.5,77.5,80.0,80.0,82.5,75.0,82.5,85.0,85.0,87.5,80.0,75.0,77.5,0.0,82.5,10.0,7.5,10.0,15.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,17.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,10.0,0.0
Washing Machines,37.5,37.5,27.500000000000004,32.5,57.49999999999999,40.0,65.0,67.5,67.5,70.0,67.5,70.0,75.0,75.0,80.0,72.5,65.0,75.0,82.5,0.0,12.5,12.5,10.0,17.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,2.5,12.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,10.0,0.0
