,Air Conditioners,Radiators,Air Purifiers,Fans,Coffee Makers,Electric Kettles,Juicers,Kitchen Scales,Deep Fryers,Cookers,Hobs,Ovens,Dishwashers,Freezers,Fridges,Microwave Ovens,Washing Machines,Irons,Vacuum Cleaners,Stand Mixers,Cameras,Televisions,Radios,Smart Watches,Smartphones,Tablets,E-Readers,Chargers,Gaming Consoles,PC Games,VR Headsets,Computer Mice,Keyboards,Monitors,Desktop Computers,Printers,Laptops,Microphones,Speakers,Scanners,Processors,Headphones,Phone Cases,Graphic Cards,Drones,Musical Instruments,Electric Toothbrushes,Hair Dryers,Shavers,Trimmers
Gaming Consoles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,52.94117647058824,50.0,45.0,35.294117647058826,43.75,70.58823529411765,46.666666666666664,43.75,0.0,100.0,94.73684210526315,55.55555555555556,50.0,50.0,58.82352941176471,50.0,60.0,60.0,52.94117647058824,44.44444444444444,66.66666666666666,46.666666666666664,15.384615384615385,41.17647058823529,45.0,38.46153846153847,12.5,0.0,0.0,0.0
PC Games,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,43.75,25.0,47.05882352941176,27.77777777777778,53.84615384615385,60.0,53.333333333333336,35.714285714285715,100.0,0.0,94.11764705882352,58.82352941176471,52.63157894736842,56.25,56.25,41.66666666666667,53.84615384615385,50.0,50.0,46.666666666666664,53.333333333333336,42.857142857142854,27.27272727272727,47.05882352941176,52.94117647058824,46.15384615384615,14.285714285714285,0.0,0.0,0.0
VR Headsets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,41.66666666666667,47.368421052631575,35.294117647058826,53.84615384615385,66.66666666666666,50.0,29.411764705882355,94.73684210526315,94.11764705882352,0.0,40.0,45.0,53.84615384615385,46.666666666666664,23.076923076923077,52.94117647058824,70.0,40.0,25.0,50.0,41.66666666666667,20.0,46.666666666666664,56.25,35.714285714285715,9.523809523809524,0.0,0.0,0.0
Computer Mice,7.6923076923076925,0.0,5.555555555555555,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,6.25,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153846153847,20.0,21.428571428571427,26.666666666666668,25.0,40.0,46.666666666666664,53.84615384615385,55.55555555555556,58.82352941176471,40.0,0.0,100.0,93.33333333333333,92.3076923076923,85.71428571428571,77.77777777777779,58.333333333333336,64.28571428571429,75.0,70.0,46.666666666666664,15.384615384615385,64.28571428571429,23.52941176470588,10.0,15.789473684210526,6.666666666666667,9.090909090909092,13.333333333333334
Keyboards,0.0,5.555555555555555,5.263157894736842,6.25,5.263157894736842,7.6923076923076925,0.0,0.0,0.0,5.263157894736842,0.0,5.88235294117647,0.0,0.0,0.0,6.666666666666667,5.88235294117647,6.25,5.88235294117647,0.0,33.33333333333333,21.428571428571427,25.0,25.0,20.0,43.75,43.75,42.10526315789473,50.0,52.63157894736842,45.0,100.0,0.0,100.0,94.11764705882352,78.57142857142857,85.71428571428571,64.28571428571429,68.42105263157895,68.75,50.0,43.75,0.0,60.0,37.5,17.647058823529413,13.636363636363635,12.5,11.76470588235294,10.526315789473683
Monitors,0.0,6.25,5.88235294117647,9.090909090909092,7.6923076923076925,7.6923076923076925,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,11.11111111111111,6.666666666666667,9.090909090909092,7.6923076923076925,0.0,15.384615384615385,22.22222222222222,18.75,25.0,8.333333333333332,43.75,33.33333333333333,35.714285714285715,50.0,56.25,53.84615384615385,93.33333333333333,100.0,0.0,92.85714285714286,76.92307692307693,91.66666666666666,70.0,61.53846153846154,70.58823529411765,63.63636363636363,33.33333333333333,8.333333333333332,53.333333333333336,20.0,16.666666666666664,6.666666666666667,13.333333333333334,14.285714285714285,11.76470588235294
Desktop Computers,0.0,0.0,5.88235294117647,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,37.5,27.77777777777778,35.294117647058826,30.76923076923077,61.53846153846154,28.57142857142857,50.0,58.82352941176471,56.25,46.666666666666664,92.3076923076923,94.11764705882352,92.85714285714286,0.0,94.11764705882352,84.61538461538461,64.28571428571429,63.1578947368421,80.0,81.81818181818183,38.46153846153847,8.333333333333332,69.23076923076923,18.75,23.076923076923077,9.523809523809524,13.333333333333334,5.263157894736842,6.25
Printers,12.5,6.25,13.333333333333334,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263157894736842,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,33.33333333333333,44.44444444444444,17.647058823529413,31.25,28.57142857142857,53.84615384615385,40.0,40.0,50.0,41.66666666666667,23.076923076923077,85.71428571428571,78.57142857142857,76.92307692307693,94.11764705882352,0.0,83.33333333333334,58.333333333333336,56.25,87.5,72.72727272727273,45.45454545454545,8.333333333333332,50.0,12.5,20.0,11.11111111111111,7.6923076923076925,7.142857142857142,7.142857142857142
Laptops,0.0,0.0,7.6923076923076925,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,62.5,31.25,42.857142857142854,30.0,63.63636363636363,20.0,46.15384615384615,60.0,53.84615384615385,52.94117647058824,77.77777777777779,85.71428571428571,91.66666666666666,84.61538461538461,83.33333333333334,0.0,100.0,84.61538461538461,63.63636363636363,72.72727272727273,37.5,0.0,54.54545454545454,25.0,27.27272727272727,12.5,9.090909090909092,10.0,8.333333333333332
Microphones,7.6923076923076925,0.0,13.333333333333334,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615384615385,60.0,53.333333333333336,43.75,36.36363636363637,54.54545454545454,50.0,61.53846153846154,60.0,50.0,70.0,58.333333333333336,64.28571428571429,70.0,64.28571428571429,58.333333333333336,100.0,0.0,94.11764705882352,64.28571428571429,70.0,66.66666666666666,20.0,38.46153846153847,31.25,33.33333333333333,11.11111111111111,0.0,0.0,0.0
